pair,mode,run,total_ticks,tick_hz,benchmark_seconds,iterations,iterations_per_second,verification_status
bare-metal,m-mode,1,553016532,10000000,55.301653,30000,542.479262,0
bare-metal,m-mode,2,560321592,10000000,56.032159,30000,535.406817,0
bare-metal,m-mode,3,555440871,10000000,55.544087,30000,540.111496,0
bare-metal,s-mode-tvm,1,530470163,10000000,53.047016,30000,565.536049,0
bare-metal,s-mode-tvm,2,528939307,10000000,52.893931,30000,567.172823,0
bare-metal,s-mode-tvm,3,525298687,10000000,52.529869,30000,571.103655,0
linux,linux-native,1,30442,1000,30.442000,30000,985.480586,0
linux,linux-native,2,30526,1000,30.526000,30000,982.768787,0
linux,linux-native,3,30841,1000,30.841000,30000,972.731105,0
linux,linux-tvm,1,31676,1000,31.676000,30000,947.089279,0
linux,linux-tvm,2,31494,1000,31.494000,30000,952.562393,0
linux,linux-tvm,3,31046,1000,31.046000,30000,966.308059,0
