mode,benchmark,run,cycles,verification_status
m-mode,aha-mont64,1,78183540,0
m-mode,aha-mont64,2,79227990,0
m-mode,aha-mont64,3,82325790,0
m-mode,aha-mont64,4,70210818,0
m-mode,aha-mont64,5,82166076,0
s-mode,aha-mont64,1,75950820,0
s-mode,aha-mont64,2,76478148,0
s-mode,aha-mont64,3,79085088,0
s-mode,aha-mont64,4,74005218,0
s-mode,aha-mont64,5,74138166,0
m-mode,crc32,1,6417495666,0
m-mode,crc32,2,6506982342,0
m-mode,crc32,3,6476476086,0
m-mode,crc32,4,6463647162,0
m-mode,crc32,5,6364587870,0
s-mode,crc32,1,6424741080,0
s-mode,crc32,2,6401302380,0
s-mode,crc32,3,6464443572,0
s-mode,crc32,4,6492553488,0
s-mode,crc32,5,6419485242,0
m-mode,cubic,1,503494254,0
m-mode,cubic,2,507547332,0
m-mode,cubic,3,509086170,0
m-mode,cubic,4,515584530,0
m-mode,cubic,5,510982416,0
s-mode,cubic,1,513332820,0
s-mode,cubic,2,518622732,0
s-mode,cubic,3,519068682,0
s-mode,cubic,4,521345664,0
s-mode,cubic,5,522660906,0
m-mode,edn,1,108417294,0
m-mode,edn,2,102379932,0
m-mode,edn,3,108323262,0
m-mode,edn,4,108096120,0
m-mode,edn,5,105095682,0
s-mode,edn,1,102866814,0
s-mode,edn,2,105273054,0
s-mode,edn,3,103884732,0
s-mode,edn,4,98915040,0
s-mode,edn,5,104877432,0
m-mode,huffbench,1,1658531088,0
m-mode,huffbench,2,1671818652,0
m-mode,huffbench,3,1665589662,0
m-mode,huffbench,4,1662200226,0
m-mode,huffbench,5,1667071926,0
s-mode,huffbench,1,1703458152,0
s-mode,huffbench,2,1705867344,0
s-mode,huffbench,3,1695487230,0
s-mode,huffbench,4,1734595110,0
s-mode,huffbench,5,1721472516,0
m-mode,matmult-int,1,109026900,0
m-mode,matmult-int,2,113087754,0
m-mode,matmult-int,3,112484268,0
m-mode,matmult-int,4,104431356,0
m-mode,matmult-int,5,111310866,0
s-mode,matmult-int,1,104339574,0
s-mode,matmult-int,2,109409670,0
s-mode,matmult-int,3,106716330,0
s-mode,matmult-int,4,102802392,0
s-mode,matmult-int,5,107416386,0
m-mode,minver,1,2901685950,0
m-mode,minver,2,2757104064,0
m-mode,minver,3,2764668366,0
m-mode,minver,4,2778137280,0
m-mode,minver,5,2802023838,0
s-mode,minver,1,2886594426,0
s-mode,minver,2,2897153514,0
s-mode,minver,3,2912709168,0
s-mode,minver,4,2900296278,0
s-mode,minver,5,2903151564,0
m-mode,nbody,1,590472,0
m-mode,nbody,2,527724,0
m-mode,nbody,3,581112,0
m-mode,nbody,4,561906,0
m-mode,nbody,5,537732,0
s-mode,nbody,1,635310,0
s-mode,nbody,2,666378,0
s-mode,nbody,3,640044,0
s-mode,nbody,4,628290,0
s-mode,nbody,5,636246,0
m-mode,nettle-aes,1,93742038,0
m-mode,nettle-aes,2,93935754,0
m-mode,nettle-aes,3,100970730,0
m-mode,nettle-aes,4,96275754,0
m-mode,nettle-aes,5,94987476,0
s-mode,nettle-aes,1,102511854,0
s-mode,nettle-aes,2,102887010,0
s-mode,nettle-aes,3,103227030,0
s-mode,nettle-aes,4,101330118,0
s-mode,nettle-aes,5,104769072,0
m-mode,nettle-sha256,1,885910914,0
m-mode,nettle-sha256,2,889551792,0
m-mode,nettle-sha256,3,884126178,0
m-mode,nettle-sha256,4,879424110,0
m-mode,nettle-sha256,5,873600174,0
s-mode,nettle-sha256,1,875563416,0
s-mode,nettle-sha256,2,891272286,0
s-mode,nettle-sha256,3,882663930,0
s-mode,nettle-sha256,4,880462332,0
s-mode,nettle-sha256,5,893051532,0
m-mode,nsichneu,1,1515369870,0
m-mode,nsichneu,2,1505209464,0
m-mode,nsichneu,3,1505455380,0
m-mode,nsichneu,4,1502167986,0
m-mode,nsichneu,5,1504881198,0
s-mode,nsichneu,1,1486642788,0
s-mode,nsichneu,2,1486916280,0
s-mode,nsichneu,3,1492037136,0
s-mode,nsichneu,4,1475015796,0
s-mode,nsichneu,5,1480988754,0
m-mode,picojpeg,1,210620916,0
m-mode,picojpeg,2,209494206,0
m-mode,picojpeg,3,211571064,0
m-mode,picojpeg,4,211946058,0
m-mode,picojpeg,5,208293102,0
s-mode,picojpeg,1,209305530,0
s-mode,picojpeg,2,213103746,0
s-mode,picojpeg,3,212878782,0
s-mode,picojpeg,4,211761360,0
s-mode,picojpeg,5,206413362,0
m-mode,qrduino,1,1154926620,0
m-mode,qrduino,2,1141129008,0
m-mode,qrduino,3,1146622248,0
m-mode,qrduino,4,1136398644,0
m-mode,qrduino,5,1138176144,0
s-mode,qrduino,1,1145116206,0
s-mode,qrduino,2,1150064316,0
s-mode,qrduino,3,1139278266,0
s-mode,qrduino,4,1139441508,0
s-mode,qrduino,5,1176553962,0
m-mode,sglib-combined,1,1704826026,0
m-mode,sglib-combined,2,1698009876,0
m-mode,sglib-combined,3,1692432288,0
m-mode,sglib-combined,4,1706825700,0
m-mode,sglib-combined,5,1704722814,0
s-mode,sglib-combined,1,1603024146,0
s-mode,sglib-combined,2,1656338616,0
s-mode,sglib-combined,3,1607942412,0
s-mode,sglib-combined,4,1608959070,0
s-mode,sglib-combined,5,1635528276,0
m-mode,slre,1,195445584,0
m-mode,slre,2,194874516,0
m-mode,slre,3,204297624,0
m-mode,slre,4,202468446,0
m-mode,slre,5,199163178,0
s-mode,slre,1,198581112,0
s-mode,slre,2,198723240,0
s-mode,slre,3,194326488,0
s-mode,slre,4,198730530,0
s-mode,slre,5,197844660,0
m-mode,st,1,153855792,0
m-mode,st,2,152132904,0
m-mode,st,3,150824160,0
m-mode,st,4,147384198,0
m-mode,st,5,147718494,0
s-mode,st,1,154913202,0
s-mode,st,2,151412472,0
s-mode,st,3,149764014,0
s-mode,st,4,154111536,0
s-mode,st,5,150271920,0
m-mode,statemate,1,14294353500,0
m-mode,statemate,2,14665385394,0
m-mode,statemate,3,14442102414,0
m-mode,statemate,4,14410130904,0
m-mode,statemate,5,14211861642,0
s-mode,statemate,1,14642263728,0
s-mode,statemate,2,14556411810,0
s-mode,statemate,3,14622287958,0
s-mode,statemate,4,14557135500,0
s-mode,statemate,5,14603576544,0
m-mode,ud,1,6398893026,0
m-mode,ud,2,6314620662,0
m-mode,ud,3,6364369854,0
m-mode,ud,4,6475513626,0
m-mode,ud,5,6420878550,0
s-mode,ud,1,6752714994,0
s-mode,ud,2,6764231790,0
s-mode,ud,3,6704623566,0
s-mode,ud,4,6750080694,0
s-mode,ud,5,6826527234,0
m-mode,wikisort,1,107738370,0
m-mode,wikisort,2,121448232,0
m-mode,wikisort,3,118986642,0
m-mode,wikisort,4,116487054,0
m-mode,wikisort,5,113590314,0
s-mode,wikisort,1,117949770,0
s-mode,wikisort,2,110330064,0
s-mode,wikisort,3,112587642,0
s-mode,wikisort,4,109692000,0
s-mode,wikisort,5,112488624,0
