mode,benchmark,run,real_seconds,user_seconds,sys_seconds,exit_code
native,aes,1,7.18,6.18,0.99,0
native,aes,2,6.60,5.88,0.71,0
native,aes,3,6.60,5.91,0.68,0
native,aes,4,6.76,6.04,0.72,0
native,aes,5,6.71,5.97,0.73,0
native,aes,6,7.24,6.45,0.78,0
native,aes,7,6.75,6.03,0.71,0
native,aes,8,6.87,6.14,0.72,0
native,aes,9,6.73,5.93,0.79,0
native,aes,10,6.75,5.95,0.79,0
native,aes,11,6.79,6.10,0.67,0
native,aes,12,6.77,5.99,0.77,0
native,aes,13,6.84,6.12,0.72,0
native,aes,14,6.77,6.06,0.70,0
native,aes,15,6.75,6.01,0.74,0
native,aes,16,6.76,6.04,0.71,0
native,aes,17,6.58,5.90,0.68,0
native,aes,18,6.64,5.92,0.71,0
native,aes,19,6.61,5.88,0.72,0
native,aes,20,6.59,5.86,0.72,0
native,aes,21,6.61,5.94,0.67,0
native,aes,22,6.49,5.78,0.70,0
native,aes,23,6.51,5.89,0.60,0
native,aes,24,6.51,5.85,0.65,0
native,aes,25,6.49,5.82,0.66,0
native,aes,26,6.55,5.87,0.68,0
native,aes,27,7.13,6.44,0.68,0
native,aes,28,6.78,6.09,0.68,0
native,aes,29,6.66,6.03,0.62,0
native,aes,30,6.72,6.05,0.66,0
native,bigint,1,3.33,3.31,0.02,0
native,bigint,2,3.19,3.15,0.03,0
native,bigint,3,3.14,3.13,0.00,0
native,bigint,4,3.22,3.20,0.01,0
native,bigint,5,3.16,3.14,0.01,0
native,bigint,6,3.23,3.22,0.01,0
native,bigint,7,3.26,3.24,0.01,0
native,bigint,8,3.22,3.20,0.01,0
native,bigint,9,3.17,3.15,0.01,0
native,bigint,10,3.23,3.21,0.01,0
native,bigint,11,3.08,3.06,0.01,0
native,bigint,12,3.04,3.03,0.00,0
native,bigint,13,3.05,3.04,0.01,0
native,bigint,14,3.21,3.19,0.02,0
native,bigint,15,3.15,3.13,0.01,0
native,bigint,16,3.05,3.04,0.01,0
native,bigint,17,3.08,3.06,0.01,0
native,bigint,18,3.07,3.05,0.02,0
native,bigint,19,3.06,3.04,0.01,0
native,bigint,20,3.08,3.06,0.01,0
native,bigint,21,3.03,3.01,0.01,0
native,bigint,22,3.01,2.99,0.01,0
native,bigint,23,3.01,2.99,0.01,0
native,bigint,24,3.02,3.01,0.00,0
native,bigint,25,3.00,2.99,0.00,0
native,bigint,26,3.02,3.01,0.00,0
native,bigint,27,3.00,2.99,0.00,0
native,bigint,28,3.00,2.99,0.01,0
native,bigint,29,3.00,2.99,0.00,0
native,bigint,30,3.02,3.00,0.01,0
native,dhrystone,1,7.36,7.36,0.00,0
native,dhrystone,2,7.28,7.26,0.01,0
native,dhrystone,3,8.72,8.71,0.00,0
native,dhrystone,4,7.34,7.33,0.00,0
native,dhrystone,5,7.49,7.48,0.00,0
native,dhrystone,6,7.29,7.28,0.00,0
native,dhrystone,7,7.34,7.33,0.00,0
native,dhrystone,8,8.63,8.62,0.00,0
native,dhrystone,9,7.36,7.35,0.00,0
native,dhrystone,10,7.39,7.38,0.00,0
native,dhrystone,11,7.33,7.33,0.00,0
native,dhrystone,12,8.81,8.80,0.00,0
native,dhrystone,13,7.23,7.23,0.00,0
native,dhrystone,14,7.22,7.22,0.00,0
native,dhrystone,15,7.22,7.22,0.00,0
native,dhrystone,16,7.24,7.24,0.00,0
native,dhrystone,17,7.23,7.23,0.00,0
native,dhrystone,18,7.24,7.23,0.00,0
native,dhrystone,19,7.22,7.21,0.00,0
